year,area,age_group,professional_type,modality,n_consultations
2021,Altiplano,0-4,GP,Home,0
2021,Altiplano,0-4,GP,Home,0
2021,Altiplano,0-4,GP,In-person,1395
2021,Altiplano,0-4,GP,In-person,1319
2021,Altiplano,0-4,GP,Remote,1117
2021,Altiplano,0-4,GP,Remote,1244
2021,Altiplano,0-4,Nurse,Home,2
2021,Altiplano,0-4,Nurse,Home,0
2021,Altiplano,0-4,Nurse,In-person,4532
2021,Altiplano,0-4,Nurse,In-person,4642
2021,Altiplano,0-4,Nurse,Remote,728
2021,Altiplano,0-4,Nurse,Remote,785
2021,Altiplano,0-4,Pediatrician,Home,0
2021,Altiplano,0-4,Pediatrician,Home,0
2021,Altiplano,0-4,Pediatrician,In-person,7872
2021,Altiplano,0-4,Pediatrician,In-person,7370
2021,Altiplano,0-4,Pediatrician,Remote,5431
2021,Altiplano,0-4,Pediatrician,Remote,5477
2021,Altiplano,10-14,GP,Home,0
2021,Altiplano,10-14,GP,Home,0
2021,Altiplano,10-14,GP,In-person,1008
2021,Altiplano,10-14,GP,In-person,1135
2021,Altiplano,10-14,GP,Remote,923
2021,Altiplano,10-14,GP,Remote,1013
2021,Altiplano,10-14,Nurse,Home,33
2021,Altiplano,10-14,Nurse,Home,25
2021,Altiplano,10-14,Nurse,In-person,2755
2021,Altiplano,10-14,Nurse,In-person,2429
2021,Altiplano,10-14,Nurse,Remote,607
2021,Altiplano,10-14,Nurse,Remote,578
2021,Altiplano,10-14,Pediatrician,Home,0
2021,Altiplano,10-14,Pediatrician,Home,0
2021,Altiplano,10-14,Pediatrician,In-person,3692
2021,Altiplano,10-14,Pediatrician,In-person,3176
2021,Altiplano,10-14,Pediatrician,Remote,3368
2021,Altiplano,10-14,Pediatrician,Remote,3181
2021,Altiplano,15-19,GP,Home,1
2021,Altiplano,15-19,GP,Home,4
2021,Altiplano,15-19,GP,In-person,3704
2021,Altiplano,15-19,GP,In-person,4522
2021,Altiplano,15-19,GP,Remote,2441
2021,Altiplano,15-19,GP,Remote,3754
2021,Altiplano,15-19,Nurse,Home,11
2021,Altiplano,15-19,Nurse,Home,4
2021,Altiplano,15-19,Nurse,In-person,1935
2021,Altiplano,15-19,Nurse,In-person,1815
2021,Altiplano,15-19,Nurse,Remote,418
2021,Altiplano,15-19,Nurse,Remote,450
2021,Altiplano,15-19,Pediatrician,Home,0
2021,Altiplano,15-19,Pediatrician,In-person,0
2021,Altiplano,15-19,Pediatrician,Remote,0
2021,Altiplano,20-24,GP,Home,3
2021,Altiplano,20-24,GP,Home,4
2021,Altiplano,20-24,GP,In-person,3869
2021,Altiplano,20-24,GP,In-person,4975
2021,Altiplano,20-24,GP,Remote,2960
2021,Altiplano,20-24,GP,Remote,4986
2021,Altiplano,20-24,Nurse,Home,4
2021,Altiplano,20-24,Nurse,Home,13
2021,Altiplano,20-24,Nurse,In-person,1538
2021,Altiplano,20-24,Nurse,In-person,1486
2021,Altiplano,20-24,Nurse,Remote,367
2021,Altiplano,20-24,Nurse,Remote,410
2021,Altiplano,20-24,Pediatrician,Home,0
2021,Altiplano,20-24,Pediatrician,In-person,0
2021,Altiplano,20-24,Pediatrician,Remote,0
2021,Altiplano,25-29,GP,Home,2
2021,Altiplano,25-29,GP,Home,2
2021,Altiplano,25-29,GP,In-person,3818
2021,Altiplano,25-29,GP,In-person,4979
2021,Altiplano,25-29,GP,Remote,2998
2021,Altiplano,25-29,GP,Remote,5070
2021,Altiplano,25-29,Nurse,Home,7
2021,Altiplano,25-29,Nurse,Home,23
2021,Altiplano,25-29,Nurse,In-person,1432
2021,Altiplano,25-29,Nurse,In-person,1464
2021,Altiplano,25-29,Nurse,Remote,382
2021,Altiplano,25-29,Nurse,Remote,428
2021,Altiplano,25-29,Pediatrician,Home,0
2021,Altiplano,25-29,Pediatrician,In-person,0
2021,Altiplano,25-29,Pediatrician,Remote,0
2021,Altiplano,30-34,GP,Home,1
2021,Altiplano,30-34,GP,Home,2
2021,Altiplano,30-34,GP,In-person,3723
2021,Altiplano,30-34,GP,In-person,5628
2021,Altiplano,30-34,GP,Remote,2966
2021,Altiplano,30-34,GP,Remote,5826
2021,Altiplano,30-34,Nurse,Home,36
2021,Altiplano,30-34,Nurse,Home,14
2021,Altiplano,30-34,Nurse,In-person,1405
2021,Altiplano,30-34,Nurse,In-person,1775
2021,Altiplano,30-34,Nurse,Remote,353
2021,Altiplano,30-34,Nurse,Remote,392
2021,Altiplano,30-34,Pediatrician,Home,0
2021,Altiplano,30-34,Pediatrician,In-person,0
2021,Altiplano,30-34,Pediatrician,Remote,0
2021,Altiplano,35-39,GP,Home,1
2021,Altiplano,35-39,GP,Home,5
2021,Altiplano,35-39,GP,In-person,4210
2021,Altiplano,35-39,GP,In-person,6504
2021,Altiplano,35-39,GP,Remote,3333
2021,Altiplano,35-39,GP,Remote,7344
2021,Altiplano,35-39,Nurse,Home,12
2021,Altiplano,35-39,Nurse,Home,40
2021,Altiplano,35-39,Nurse,In-person,1536
2021,Altiplano,35-39,Nurse,In-person,2166
2021,Altiplano,35-39,Nurse,Remote,349
2021,Altiplano,35-39,Nurse,Remote,458
2021,Altiplano,35-39,Pediatrician,Home,0
2021,Altiplano,35-39,Pediatrician,In-person,0
2021,Altiplano,35-39,Pediatrician,Remote,0
2021,Altiplano,40-44,GP,Home,7
2021,Altiplano,40-44,GP,Home,8
2021,Altiplano,40-44,GP,In-person,5759
2021,Altiplano,40-44,GP,In-person,7728
2021,Altiplano,40-44,GP,Remote,4847
2021,Altiplano,40-44,GP,Remote,8060
2021,Altiplano,40-44,Nurse,Home,67
2021,Altiplano,40-44,Nurse,Home,32
2021,Altiplano,40-44,Nurse,In-person,2245
2021,Altiplano,40-44,Nurse,In-person,2679
2021,Altiplano,40-44,Nurse,Remote,542
2021,Altiplano,40-44,Nurse,Remote,537
2021,Altiplano,40-44,Pediatrician,Home,0
