year,area,age_group,n_emerg
2021,Altiplano,0-4,2093
2021,Altiplano,10-14,1605
2021,Altiplano,15-19,2233
2021,Altiplano,20-24,2672
2021,Altiplano,25-29,2609
2021,Altiplano,30-34,2310
2021,Altiplano,35-39,2449
2021,Altiplano,40-44,3036
2021,Altiplano,45-49,2921
2021,Altiplano,5-9,1598
2021,Altiplano,50-54,2333
2021,Altiplano,55-59,2338
2021,Altiplano,60-64,1939
2021,Altiplano,65-69,1277
2021,Altiplano,70-74,1149
2021,Altiplano,75-79,862
2021,Altiplano,80-84,631
2021,Altiplano,85-89,496
2021,Altiplano,90-94,227
2021,Altiplano,95+,64
2021,Cartagena,0-4,12272
2021,Cartagena,10-14,10708
2021,Cartagena,15-19,14367
2021,Cartagena,20-24,15650
2021,Cartagena,25-29,15561
2021,Cartagena,30-34,15402
2021,Cartagena,35-39,15551
2021,Cartagena,40-44,18207
2021,Cartagena,45-49,16488
2021,Cartagena,5-9,10305
2021,Cartagena,50-54,15530
2021,Cartagena,55-59,13429
2021,Cartagena,60-64,10516
2021,Cartagena,65-69,8036
2021,Cartagena,70-74,6017
2021,Cartagena,75-79,4747
2021,Cartagena,80-84,3459
2021,Cartagena,85-89,2558
2021,Cartagena,90-94,1132
2021,Cartagena,95+,269
2021,Lorca,0-4,12161
2021,Lorca,10-14,7976
2021,Lorca,15-19,11716
2021,Lorca,20-24,14044
2021,Lorca,25-29,13915
2021,Lorca,30-34,13289
2021,Lorca,35-39,14061
2021,Lorca,40-44,16472
2021,Lorca,45-49,14937
2021,Lorca,5-9,8154
2021,Lorca,50-54,13827
2021,Lorca,55-59,11148
2021,Lorca,60-64,8377
2021,Lorca,65-69,6085
2021,Lorca,70-74,5725
2021,Lorca,75-79,4630
2021,Lorca,80-84,3507
2021,Lorca,85-89,2685
2021,Lorca,90-94,1366
2021,Lorca,95+,426
2021,Mar Menor,0-4,4788
2021,Mar Menor,10-14,3525
2021,Mar Menor,15-19,4169
2021,Mar Menor,20-24,5172
2021,Mar Menor,25-29,4724
2021,Mar Menor,30-34,4895
2021,Mar Menor,35-39,5539
2021,Mar Menor,40-44,6039
2021,Mar Menor,45-49,5523
2021,Mar Menor,5-9,3690
2021,Mar Menor,50-54,4699
2021,Mar Menor,55-59,3732
2021,Mar Menor,60-64,2544
2021,Mar Menor,65-69,1824
2021,Mar Menor,70-74,1473
2021,Mar Menor,75-79,1142
2021,Mar Menor,80-84,842
2021,Mar Menor,85-89,523
2021,Mar Menor,90-94,253
2021,Mar Menor,95+,72
2021,Murcia Este,0-4,3446
2021,Murcia Este,10-14,2920
2021,Murcia Este,15-19,6212
2021,Murcia Este,20-24,7076
2021,Murcia Este,25-29,7555
2021,Murcia Este,30-34,7473
2021,Murcia Este,35-39,7552
2021,Murcia Este,40-44,9247
2021,Murcia Este,45-49,9205
2021,Murcia Este,5-9,2518
2021,Murcia Este,50-54,7964
2021,Murcia Este,55-59,6578
2021,Murcia Este,60-64,5395
2021,Murcia Este,65-69,3773
2021,Murcia Este,70-74,2790
2021,Murcia Este,75-79,2573
2021,Murcia Este,80-84,1895
2021,Murcia Este,85-89,1407
2021,Murcia Este,90-94,724
2021,Murcia Este,95+,171
2021,Murcia Oeste,0-4,9419
2021,Murcia Oeste,10-14,6330
2021,Murcia Oeste,15-19,9401
2021,Murcia Oeste,20-24,12214
2021,Murcia Oeste,25-29,11866
2021,Murcia Oeste,30-34,11670
2021,Murcia Oeste,35-39,11622
2021,Murcia Oeste,40-44,14039
2021,Murcia Oeste,45-49,12638
2021,Murcia Oeste,5-9,6303
2021,Murcia Oeste,50-54,11666
2021,Murcia Oeste,55-59,10271
2021,Murcia Oeste,60-64,7750
2021,Murcia Oeste,65-69,5713
2021,Murcia Oeste,70-74,4815
2021,Murcia Oeste,75-79,3801
2021,Murcia Oeste,80-84,2939
2021,Murcia Oeste,85-89,2352
2021,Murcia Oeste,90-94,974
2021,Murcia Oeste,95+,239
2021,Noroeste,0-4,4873
2021,Noroeste,10-14,3728
2021,Noroeste,15-19,5986
2021,Noroeste,20-24,6486
2021,Noroeste,25-29,5908
2021,Noroeste,30-34,5645
2021,Noroeste,35-39,5315
2021,Noroeste,40-44,6075
2021,Noroeste,45-49,6953
2021,Noroeste,5-9,3632
2021,Noroeste,50-54,6820
2021,Noroeste,55-59,6304
2021,Noroeste,60-64,5074
2021,Noroeste,65-69,3594
2021,Noroeste,70-74,2988
2021,Noroeste,75-79,2584
2021,Noroeste,80-84,2289
2021,Noroeste,85-89,1831
2021,Noroeste,90-94,1026
2021,Noroeste,95+,254
2021,Vega Alta del Segura,0-4,2700
2021,Vega Alta del Segura,10-14,2148
2021,Vega Alta del Segura,15-19,2628
2021,Vega Alta del Segura,20-24,3217
2021,Vega Alta del Segura,25-29,2805
2021,Vega Alta del Segura,30-34,2696
2021,Vega Alta del Segura,35-39,2923
2021,Vega Alta del Segura,40-44,3045
2021,Vega Alta del Segura,45-49,3418
2021,Vega Alta del Segura,5-9,2057
2021,Vega Alta del Segura,50-54,3161
2021,Vega Alta del Segura,55-59,2521
2021,Vega Alta del Segura,60-64,2049
2021,Vega Alta del Segura,65-69,1588
2021,Vega Alta del Segura,70-74,1431
2021,Vega Alta del Segura,75-79,1173
2021,Vega Alta del Segura,80-84,951
2021,Vega Alta del Segura,85-89,792
2021,Vega Alta del Segura,90-94,373
2021,Vega Alta del Segura,95+,93
2021,Vega Media del Segura,0-4,9500
2021,Vega Media del Segura,10-14,8159
2021,Vega Media del Segura,15-19,10302
2021,Vega Media del Segura,20-24,11718
2021,Vega Media del Segura,25-29,11611
2021,Vega Media del Segura,30-34,11906
2021,Vega Media del Segura,35-39,11852
