year,area,age_group,sex,population
2021,Murcia Oeste,0-4,0,6430
2021,Murcia Oeste,5-9,0,7522
2021,Murcia Oeste,10-14,0,8199
2021,Murcia Oeste,15-19,0,7890
2021,Murcia Oeste,20-24,0,7523
2021,Murcia Oeste,25-29,0,7651
2021,Murcia Oeste,30-34,0,8309
2021,Murcia Oeste,35-39,0,9482
2021,Murcia Oeste,40-44,0,11956
2021,Murcia Oeste,45-49,0,11749
2021,Murcia Oeste,50-54,0,10555
2021,Murcia Oeste,55-59,0,9186
2021,Murcia Oeste,60-64,0,7407
2021,Murcia Oeste,65-69,0,5471
2021,Murcia Oeste,70-74,0,4524
2021,Murcia Oeste,75-79,0,3376
2021,Murcia Oeste,80-84,0,2380
2021,Murcia Oeste,85-89,0,1528
2021,Murcia Oeste,90-94,0,600
2021,Murcia Oeste,95+,0,104
2021,Murcia Oeste,0-4,1,5995
2021,Murcia Oeste,5-9,1,7017
2021,Murcia Oeste,10-14,1,7751
2021,Murcia Oeste,15-19,1,7297
2021,Murcia Oeste,20-24,1,7078
2021,Murcia Oeste,25-29,1,7398
2021,Murcia Oeste,30-34,1,8515
2021,Murcia Oeste,35-39,1,9436
2021,Murcia Oeste,40-44,1,11320
2021,Murcia Oeste,45-49,1,11138
2021,Murcia Oeste,50-54,1,10074
2021,Murcia Oeste,55-59,1,9171
2021,Murcia Oeste,60-64,1,7735
2021,Murcia Oeste,65-69,1,6062
2021,Murcia Oeste,70-74,1,5434
2021,Murcia Oeste,75-79,1,4283
2021,Murcia Oeste,80-84,1,3497
2021,Murcia Oeste,85-89,1,2623
2021,Murcia Oeste,90-94,1,1175
2021,Murcia Oeste,95+,1,282
2021, Cartagena,0-4,0,6279
2021, Cartagena,5-9,0,8021
2021, Cartagena,10-14,0,9016
2021, Cartagena,15-19,0,8689
2021, Cartagena,20-24,0,7876
2021, Cartagena,25-29,0,7715
2021, Cartagena,30-34,0,8232
2021, Cartagena,35-39,0,9493
2021, Cartagena,40-44,0,12024
2021, Cartagena,45-49,0,12160
2021, Cartagena,50-54,0,10952
2021, Cartagena,55-59,0,9826
2021, Cartagena,60-64,0,8027
2021, Cartagena,65-69,0,6421
2021, Cartagena,70-74,0,5288
2021, Cartagena,75-79,0,4057
2021, Cartagena,80-84,0,2665
2021, Cartagena,85-89,0,1721
2021, Cartagena,90-94,0,585
2021, Cartagena,95+,0,105
2021, Cartagena,0-4,1,6028
2021, Cartagena,5-9,1,7349
2021, Cartagena,10-14,1,8469
2021, Cartagena,15-19,1,7942
2021, Cartagena,20-24,1,7494
2021, Cartagena,25-29,1,7442
2021, Cartagena,30-34,1,8556
2021, Cartagena,35-39,1,9553
2021, Cartagena,40-44,1,11152
2021, Cartagena,45-49,1,11052
2021, Cartagena,50-54,1,10463
2021, Cartagena,55-59,1,9550
2021, Cartagena,60-64,1,8463
2021, Cartagena,65-69,1,6849
2021, Cartagena,70-74,1,6009
2021, Cartagena,75-79,1,5239
2021, Cartagena,80-84,1,3809
2021, Cartagena,85-89,1,2927
2021, Cartagena,90-94,1,1268
2021, Cartagena,95+,1,347
2021,: Lorca,0-4,0,4297
2021,: Lorca,5-9,0,5397
2021,: Lorca,10-14,0,5753
2021,: Lorca,15-19,0,5606
2021,: Lorca,20-24,0,5742
2021,: Lorca,25-29,0,5741
2021,: Lorca,30-34,0,5928
2021,: Lorca,35-39,0,7271
2021,: Lorca,40-44,0,9418
2021,: Lorca,45-49,0,8939
2021,: Lorca,50-54,0,7304
2021,: Lorca,55-59,0,6218
2021,: Lorca,60-64,0,4802
2021,: Lorca,65-69,0,3731
2021,: Lorca,70-74,0,3268
2021,: Lorca,75-79,0,2392
2021,: Lorca,80-84,0,1612
2021,: Lorca,85-89,0,1017
2021,: Lorca,90-94,0,372
2021,: Lorca,95+,0,86
2021,: Lorca,0-4,1,4082
2021,: Lorca,5-9,1,5065
2021,: Lorca,10-14,1,5268
2021,: Lorca,15-19,1,5211
2021,: Lorca,20-24,1,5211
2021,: Lorca,25-29,1,5278
2021,: Lorca,30-34,1,5785
2021,: Lorca,35-39,1,6490
2021,: Lorca,40-44,1,7737
2021,: Lorca,45-49,1,7376
2021,: Lorca,50-54,1,6550
2021,: Lorca,55-59,1,5773
2021,: Lorca,60-64,1,4843
2021,: Lorca,65-69,1,3848
2021,: Lorca,70-74,1,3560
2021,: Lorca,75-79,1,2934
2021,: Lorca,80-84,1,2251
2021,: Lorca,85-89,1,1761
2021,: Lorca,90-94,1,782
2021,: Lorca,95+,1,219
2021, Noroeste,0-4,0,1353
2021, Noroeste,5-9,0,1662
2021, Noroeste,10-14,0,1931
2021, Noroeste,15-19,0,1933
2021, Noroeste,20-24,0,1995
2021, Noroeste,25-29,0,2167
2021, Noroeste,30-34,0,2134
2021, Noroeste,35-39,0,2173
2021, Noroeste,40-44,0,2707
2021, Noroeste,45-49,0,2852
2021, Noroeste,50-54,0,2831
2021, Noroeste,55-59,0,2673
2021, Noroeste,60-64,0,2444
2021, Noroeste,65-69,0,1707
2021, Noroeste,70-74,0,1392
2021, Noroeste,75-79,0,1220
2021, Noroeste,80-84,0,838
2021, Noroeste,85-89,0,626
2021, Noroeste,90-94,0,277
2021, Noroeste,95+,0,59
2021, Noroeste,0-4,1,1217
2021, Noroeste,5-9,1,1543
2021, Noroeste,10-14,1,1735
2021, Noroeste,15-19,1,1841
2021, Noroeste,20-24,1,2024
2021, Noroeste,25-29,1,1911
2021, Noroeste,30-34,1,1968
2021, Noroeste,35-39,1,2077
2021, Noroeste,40-44,1,2490
2021, Noroeste,45-49,1,2702
2021, Noroeste,50-54,1,2686
2021, Noroeste,55-59,1,2607
2021, Noroeste,60-64,1,2420
2021, Noroeste,65-69,1,1733
2021, Noroeste,70-74,1,1598
2021, Noroeste,75-79,1,1458
2021, Noroeste,80-84,1,1140
2021, Noroeste,85-89,1,924
2021, Noroeste,90-94,1,480
2021, Noroeste,95+,1,92
2021,Altiplano,0-4,0,1349
2021,Altiplano,5-9,0,1739
2021,Altiplano,10-14,0,1954
2021,Altiplano,15-19,0,1921
2021,Altiplano,20-24,0,1923
2021,Altiplano,25-29,0,2020
2021,Altiplano,30-34,0,2047
2021,Altiplano,35-39,0,2213
2021,Altiplano,40-44,0,2943
2021,Altiplano,45-49,0,2820
2021,Altiplano,50-54,0,2440
2021,Altiplano,55-59,0,2182
2021,Altiplano,60-64,0,1921
2021,Altiplano,65-69,0,1351
2021,Altiplano,70-74,0,1108
2021,Altiplano,75-79,0,792
2021,Altiplano,80-84,0,484
2021,Altiplano,85-89,0,374
2021,Altiplano,90-94,0,165
2021,Altiplano,95+,0,33
2021,Altiplano,0-4,1,1355
2021,Altiplano,5-9,1,1581
2021,Altiplano,10-14,1,1866
2021,Altiplano,15-19,1,1822
2021,Altiplano,20-24,1,1835
2021,Altiplano,25-29,1,1709
