year,area,center_type,n_centers
2021,Murcia Oeste,1,14
2021,Murcia Oeste,2,32
2021,Cartagena,1,16
2021,Cartagena,2,44
2021,Lorca,1,10
2021,Lorca,2,28
2021,Noroeste,1,6
2021,Noroeste,2,20
2021,Altiplano,1,3
2021,Altiplano,2,3
2021,Vega Media del Segura,1,15
2021,Vega Media del Segura,2,23
2021,Murcia Este,1,12
2021,Murcia Este,2,17
2021,Mar Menor,1,5
2021,Mar Menor,2,9
2021,Vega Alta del Segura,1,4
2021,Vega Alta del Segura,2,3
2022,Murcia Oeste,1,14
2022,Murcia Oeste,2,32
2022,Cartagena,1,16
2022,Cartagena,2,44
2022,Lorca,1,10
2022,Lorca,2,28
2022,Noroeste,1,6
2022,Noroeste,2,20
2022,Altiplano,1,3
2022,Altiplano,2,3
2022,Vega Media del Segura,1,15
2022,Vega Media del Segura,2,23
2022,Murcia Este,1,12
2022,Murcia Este,2,17
2022,Mar Menor,1,5
2022,Mar Menor,2,9
2022,Vega Alta del Segura,1,4
2022,Vega Alta del Segura,2,3
2023,Murcia Oeste,1,14
2023,Murcia Oeste,2,28
2023,Cartagena,1,16
2023,Cartagena,2,43
2023,Lorca,1,10
2023,Lorca,2,28
2023,Noroeste,1,6
2023,Noroeste,2,21
2023,Altiplano,1,3
2023,Altiplano,2,3
2023,Vega Media del Segura,1,15
2023,Vega Media del Segura,2,23
2023,Murcia Este,1,12
2023,Murcia Este,2,17
2023,Mar Menor,1,5
2023,Mar Menor,2,9
2023,Vega Alta del Segura,1,4
2023,Vega Alta del Segura,2,3
