resource,time,server,queue,capacity,queue_size,system,limit,replication
9_Pediatrician,0.010522278025746346,1,0,2,Inf,1,Inf,1
142_Pediatrician,0.02528341021388769,1,0,2,Inf,1,Inf,1
236_GP,0.0274414150044322,1,0,9,Inf,1,Inf,1
236_GP,0.03937165718525648,2,0,9,Inf,2,Inf,1
174_GP,0.061572957783937454,1,0,11,Inf,1,Inf,1
40_GP,0.10191448498517275,1,0,6,Inf,1,Inf,1
142_GP,0.10227033868432045,1,0,9,Inf,1,Inf,1
8_GP,0.10314261540770531,1,0,6,Inf,1,Inf,1
33_Nurse,0.10909130796790123,1,0,17,Inf,1,Inf,1
140_GP,0.11032452341169119,1,0,4,Inf,1,Inf,1
186_GP,0.1107066823169589,1,0,2,Inf,1,Inf,1
66_GP,0.12134562246501446,1,0,3,Inf,1,Inf,1
19_Pediatrician,0.132438400760293,1,0,2,Inf,1,Inf,1
170_GP,0.1345390034839511,1,0,8,Inf,1,Inf,1
9_GP,0.14046637807041407,1,0,6,Inf,1,Inf,1
30_Pediatrician,0.1716118399053812,1,0,3,Inf,1,Inf,1
67_GP,0.17617017030715942,1,0,1,Inf,1,Inf,1
32_GP,0.18865810241550207,1,0,7,Inf,1,Inf,1
22_GP,0.19544660579413176,1,0,11,Inf,1,Inf,1
30_Pediatrician,0.20466584712266922,2,0,3,Inf,2,Inf,1
157_GP,0.20475639961659908,1,0,6,Inf,1,Inf,1
42_GP,0.20556931849569082,1,0,6,Inf,1,Inf,1
170_Nurse,0.2108606742694974,1,0,12,Inf,1,Inf,1
35_GP,0.23039351217448711,1,0,8,Inf,1,Inf,1
164_GP,0.2321986947208643,1,0,2,Inf,1,Inf,1
174_GP,0.24256118573248386,2,0,11,Inf,2,Inf,1
45_GP,0.2470667101442814,1,0,3,Inf,1,Inf,1
41_Pediatrician,0.262404796667397,1,0,2,Inf,1,Inf,1
174_Nurse,0.272418768145144,1,0,14,Inf,1,Inf,1
40_GP,0.2981489757075906,2,0,6,Inf,2,Inf,1
276_GP,0.2996145375072956,1,0,6,Inf,1,Inf,1
174_GP,0.30914406292140484,3,0,11,Inf,3,Inf,1
276_GP,0.3157506790012121,2,0,6,Inf,2,Inf,1
93_GP,0.3294604830443859,1,0,1,Inf,1,Inf,1
95_GP,0.3469659620895982,1,0,8,Inf,1,Inf,1
128_GP,0.34816475585103035,1,0,1,Inf,1,Inf,1
162_Nurse,0.35797268617898226,1,0,16,Inf,1,Inf,1
118_GP,0.3624554257839918,1,0,2,Inf,1,Inf,1
96_GP,0.36823582369834185,1,0,9,Inf,1,Inf,1
20_GP,0.37313729524612427,1,0,10,Inf,1,Inf,1
10_GP,0.39758578408509493,1,0,5,Inf,1,Inf,1
258_GP,0.40527648758143187,1,0,2,Inf,1,Inf,1
159_Pediatrician,0.43929655104875565,1,0,3,Inf,1,Inf,1
174_GP,0.46772876288741827,4,0,11,Inf,4,Inf,1
134_GP,0.4840017110109329,1,0,6,Inf,1,Inf,1
22_GP,0.4854442924261093,2,0,11,Inf,2,Inf,1
14_GP,0.4891355289146304,1,0,6,Inf,1,Inf,1
121_GP,0.4916679672896862,1,0,3,Inf,1,Inf,1
23_Nurse,0.4988019587472081,1,0,5,Inf,1,Inf,1
42_Nurse,0.5004839273169637,1,0,7,Inf,1,Inf,1
143_GP,0.5146477650851011,1,0,3,Inf,1,Inf,1
244_GP,0.5186094855889678,1,0,11,Inf,1,Inf,1
186_GP,0.5321480613201857,2,0,2,Inf,2,Inf,1
11_GP,0.5448645260185003,1,0,3,Inf,1,Inf,1
221_GP,0.546608786098659,1,0,3,Inf,1,Inf,1
81_GP,0.5515171028673649,1,0,1,Inf,1,Inf,1
21_GP,0.578143447637558,1,0,6,Inf,1,Inf,1
2_GP,0.5987634044140577,1,0,8,Inf,1,Inf,1
208_GP,0.6000147107988596,1,0,3,Inf,1,Inf,1
162_GP,0.6081136828288436,1,0,13,Inf,1,Inf,1
159_GP,0.6170812156051397,1,0,12,Inf,1,Inf,1
274_GP,0.6270775850862265,1,0,7,Inf,1,Inf,1
33_GP,0.6271091708913445,1,0,11,Inf,1,Inf,1
48_Pediatrician,0.6341526098549366,1,0,1,Inf,1,Inf,1
236_Nurse,0.6372965220361948,1,0,13,Inf,1,Inf,1
81_GP,0.6519979052245617,1,1,1,Inf,2,Inf,1
112_GP,0.6676021730527282,1,0,8,Inf,1,Inf,1
246_GP,0.6763912411406636,1,0,1,Inf,1,Inf,1
133_GP,0.6872537266463041,1,0,6,Inf,1,Inf,1
85_GP,0.7163023017346859,1,0,1,Inf,1,Inf,1
239_GP,0.7195791089907289,1,0,1,Inf,1,Inf,1
162_Nurse,0.7250078581273556,2,0,16,Inf,2,Inf,1
170_GP,0.7320153107866645,2,0,8,Inf,2,Inf,1
134_GP,0.7398542622104287,2,0,6,Inf,2,Inf,1
157_Pediatrician,0.7576333545148373,1,0,2,Inf,1,Inf,1
157_GP,0.7580609852448106,2,0,6,Inf,2,Inf,1
29_GP,0.7669756142422557,1,0,4,Inf,1,Inf,1
250_Nurse,0.7861903449520469,1,0,13,Inf,1,Inf,1
154_Nurse,0.8024991815909743,1,0,4,Inf,1,Inf,1
33_GP,0.8043999038636684,2,0,11,Inf,2,Inf,1
144_GP,0.8130904007703066,1,0,7,Inf,1,Inf,1
235_GP,0.8151288097724319,1,0,8,Inf,1,Inf,1
32_GP,0.8167327428236604,2,0,7,Inf,2,Inf,1
159_GP,0.818973770365119,2,0,12,Inf,2,Inf,1
266_GP,0.8441093238070607,1,0,2,Inf,1,Inf,1
244_Pediatrician,0.8539859997108579,1,0,4,Inf,1,Inf,1
265_GP,0.8638663915917277,1,0,8,Inf,1,Inf,1
221_Nurse,0.8714178437367082,1,0,3,Inf,1,Inf,1
23_Nurse,0.8735923748463392,2,0,5,Inf,2,Inf,1
99_GP,0.9223073674365878,1,0,9,Inf,1,Inf,1
208_GP,0.9300062851980329,2,0,3,Inf,2,Inf,1
15_GP,0.9315809793770313,1,0,2,Inf,1,Inf,1
